genericId,watsonChatId,responseType,responseText
null,ad970728-c1bc-43e8-8053-97342185d983,text,IBM Maximo is an Enterprise Asset Management (EAM) solution (equipment, installations, buildings, etc) that provides purchasing, inventory, management of locations, service desk, and work planning. Maximo utilizes a series of applications, within modules, to setup and maintain an organization’s asset management plan. When using the Go To menu to navigate to these applications, the list in the drop-down menu is the list of modules. The menu expands to show the applications within each module. In some instances, there are categories of applications, so an additional list level is between the module name and application name.
null,ad970728-c1bc-43e8-8053-97342185d983,option,"Key Terms" "Asset Management" "Item Master" "Work Order" "Preventive Maintenance" "Purchase Order" "Service Request" 
null,ad970728-c1bc-43e8-8053-97342185d983,text,Preventive Maintenance (PM) is maintenance work performed on a regular schedule. The Preventive Maintenance application will help you plan and budget for regular maintenance work by planning the labor, material, service, and tool needs of your regularly scheduled maintenance and inspection Work Orders.  Work Management – A core business function to almost any industry. It is the method by which organizations maintain assets and manage labor resources. The Work Order Tracking application is an essential element of work management.  Asset management - track and manage asset and location data throughout the asset lifecycle. The Assets application is the central element of managing assets.  Work Management – A core business function to almost any industry. It is the method by which organizations maintain assets and manage labor resources. The Work Order Tracking application is an essential element of work management.  System - A method for organizing different types of locations and assets in the same database to allow for different asset tracking processes. For example, the HVAC system of vents, air conditioners, and heaters within a building is separate from the IT Networking system of cables, switches, routers, and computers within a building.  Location - A physical, geographic location where assets reside, or a virtual space, either from which assets can be transferred in and out. A location can also be a labor record, as in the person that the handheld or laptop is assigned to.  Asset - A physical piece of equipment that needs to be managed and maintained via the asset management process.  Item - A physical piece of equipment that needs to be managed via the inventory process. An inventory item may also be an asset. This is a rotating item.  Classification - A method for organizing assets with the same components or parts.  Specification - The specific values of the components or parts of an asset.
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,Hi there! How can I help you?
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,pause,1000
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,I'm here to assist you with your Maximo related questions
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,pause,1000
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,Please select an option or type your question below
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,ad970728-c1bc-43e8-8053-97342185d983,suggestion,"WO Workplan Revise: work planning" "Work Order Options: work planning" "WO Create Workplan: work planning" "WO Associate Workplan: work planning" "None of the above: work planning" 
null,ad970728-c1bc-43e8-8053-97342185d983,text, A work plan describes the labor, materials, tools, services, and tasks that are needed to complete a work order. In the Work Order Tracking application, select the work order for which you want to create a work plan. Fill in information on the Plans tab and then save the work plan. You can also create a "template" work plan in the Job Plan application. 1. In the Job Plans application, click New Job Plan and complete the fields. 2. On the Labor sub tab, Materials sub tab, Services sub tab, and the Tools sub tab, create a new row and complete the fields. After you click New Row on these tabs, the Organization field and Site field become read-only. 3. Optional: In the associated tabs, specify the work assets to associate with safety plans, the specifications for the job plan, details such as the risk assessments, and any regulations that are associated with the job plan. 4. Save the job plan. 5. After you specify the information, change the status of the job plan to Active so that the information for this job plan can be applied to any associated work orders. 
null,ad970728-c1bc-43e8-8053-97342185d983,option,"Edit or Revise a Work Order" "Classify a Work Order" "Associate a Job Plan" "Revise a Job Plan" 
null,ad970728-c1bc-43e8-8053-97342185d983,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,ad970728-c1bc-43e8-8053-97342185d983,pause,1000
null,ad970728-c1bc-43e8-8053-97342185d983,text,I'm here to assist you with your Maximo related questions
null,ad970728-c1bc-43e8-8053-97342185d983,pause,1000
null,ad970728-c1bc-43e8-8053-97342185d983,text,Please select an option or type your question below
null,ad970728-c1bc-43e8-8053-97342185d983,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,IBM Maximo is an Enterprise Asset Management (EAM) solution (equipment, installations, buildings, etc) that provides purchasing, inventory, management of locations, service desk, and work planning. Maximo utilizes a series of applications, within modules, to setup and maintain an organization’s asset management plan. When using the Go To menu to navigate to these applications, the list in the drop-down menu is the list of modules. The menu expands to show the applications within each module. In some instances, there are categories of applications, so an additional list level is between the module name and application name.
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,option,"Key Terms" "Asset Management" "Item Master" "Work Order" "Preventive Maintenance" "Purchase Order" "Service Request" 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,You use the Item Master application to define items that are stocked in your storerooms. You group these items in an item set that can be shared by the organizations that use the item set. When you create an item record, you define the main attributes of the item, such as commodity code and order and issue units. You can also specify items that you can use in its place and condition codes that you want applied to the item. 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,option,"How do I create an item assembly structure?" 
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,Ok, please tell me your email.
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,4ca17d19-2321-403d-8e8c-327cee340cd3,pause,1000
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,I'm here to assist you with your Maximo related questions
null,4ca17d19-2321-403d-8e8c-327cee340cd3,pause,1000
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,Please select an option or type your question below
null,4ca17d19-2321-403d-8e8c-327cee340cd3,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,4ca17d19-2321-403d-8e8c-327cee340cd3,suggestion,"Please transfer me to an agent: live chat" "Bot Profile : live chat" "Search TRM Document Library: live chat" "None of the above: live chat" 
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,image,NO TEXT FOR image
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,4ca17d19-2321-403d-8e8c-327cee340cd3,image,NO TEXT FOR image
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,4ca17d19-2321-403d-8e8c-327cee340cd3,text,Ok, please type in your query then wait for an agent.
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,Ok, please type in your query then wait for an agent.
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,pause,1000
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,I'm here to assist you with your Maximo related questions
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,pause,1000
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,Please select an option or type your question below
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,9e9b2f93-86a3-4cdf-90a0-985648d1dc92,text,Ok, please tell me your email.
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,pause,1000
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,text,I'm here to assist you with your Maximo related questions
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,pause,1000
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,text,Please select an option or type your question below
null,eb00a844-ea9a-49a3-a127-58f89f4e5210,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,pause,1000
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,text,I'm here to assist you with your Maximo related questions
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,pause,1000
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,text,Please select an option or type your question below
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,0506c531-edd7-49fa-ac0d-9bdd141761e0,search,"Ad Hoc Report Types  .pdf" "Creating Ad Hoc Reports .pdf" "Ad hoc report Administration .pdf" 
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,Ok, please type in your query then wait for an agent.
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,Ok, please tell me your email.
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,pause,1000
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,I'm here to assist you with your Maximo related questions
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,pause,1000
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,Please select an option or type your question below
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,image,NO TEXT FOR image
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,f6bd9a72-7c5d-45b7-bc0d-15f647f03df4,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,pause,1000
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,text,I'm here to assist you with your Maximo related questions
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,pause,1000
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,text,Please select an option or type your question below
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,1582b536-f0e9-4ae1-b87c-bbae074ddb63,search,"How to Create and Run a Quick Ad Hoc Report.pdf" "Ad Hoc Report Types  .pdf" "Printing Ad Hoc Reports .pdf" 
null,fb517259-5c95-48df-bf60-1ee865da8315,text,Ok, please tell me your email.
null,fb517259-5c95-48df-bf60-1ee865da8315,search,"How to Create and Run a Quick Ad Hoc Report.pdf" "How to_ Export an AD HOC to Eclipse BIRT Designer.pdf" "Deleting Ad Hoc Reports .pdf" 
null,fb517259-5c95-48df-bf60-1ee865da8315,text,Ok, please type in your query then wait for an agent.
null,fb517259-5c95-48df-bf60-1ee865da8315,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,fb517259-5c95-48df-bf60-1ee865da8315,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,fb517259-5c95-48df-bf60-1ee865da8315,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,fb517259-5c95-48df-bf60-1ee865da8315,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,fb517259-5c95-48df-bf60-1ee865da8315,image,NO TEXT FOR image
null,fb517259-5c95-48df-bf60-1ee865da8315,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,fb517259-5c95-48df-bf60-1ee865da8315,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,fb517259-5c95-48df-bf60-1ee865da8315,pause,1000
null,fb517259-5c95-48df-bf60-1ee865da8315,text,I'm here to assist you with your Maximo related questions
null,fb517259-5c95-48df-bf60-1ee865da8315,pause,1000
null,fb517259-5c95-48df-bf60-1ee865da8315,text,Please select an option or type your question below
null,fb517259-5c95-48df-bf60-1ee865da8315,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,5771e685-26b0-4dc3-a67d-18175ef68305,image,NO TEXT FOR image
null,5771e685-26b0-4dc3-a67d-18175ef68305,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,5771e685-26b0-4dc3-a67d-18175ef68305,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,5771e685-26b0-4dc3-a67d-18175ef68305,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,5771e685-26b0-4dc3-a67d-18175ef68305,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,5771e685-26b0-4dc3-a67d-18175ef68305,pause,1000
null,5771e685-26b0-4dc3-a67d-18175ef68305,text,I'm here to assist you with your Maximo related questions
null,5771e685-26b0-4dc3-a67d-18175ef68305,pause,1000
null,5771e685-26b0-4dc3-a67d-18175ef68305,text,Please select an option or type your question below
